CustomerID,total_orders,total_revenue,last_purchase_date,recency,avg_order_value,R_score,F_score,M_score,RFM_score,segment,is_inactive,priority
12346,1,77183.6,2011-01-18 10:01:00,325,77183.6,1,1,4,114,At Risk,1,Urgent Recovery
12347,7,4310.0,2011-12-07 15:52:00,1,615.7142857142857,4,4,4,444,Champions,0,Protect
12348,4,1797.24,2011-09-25 13:13:00,74,449.31,2,3,4,234,Loyal Customers,0,Low Priority
12349,1,1757.55,2011-11-21 09:51:00,18,1757.55,3,1,4,314,Others,0,Low Priority
12350,1,334.4,2011-02-02 16:01:00,309,334.4,1,1,2,112,At Risk,1,Urgent Recovery
12352,8,2506.04,2011-11-03 14:37:00,35,313.255,3,4,4,344,Loyal Customers,0,Low Priority
12353,1,89.0,2011-05-19 17:47:00,203,89.0,1,1,1,111,At Risk,1,Urgent Recovery
12354,1,1079.4,2011-04-21 13:11:00,231,1079.4,1,1,3,113,At Risk,1,Urgent Recovery
12355,1,459.4,2011-05-09 13:49:00,213,459.4,1,1,2,112,At Risk,1,Urgent Recovery
12356,3,2811.43,2011-11-17 08:40:00,22,937.1433333333333,3,3,4,334,Loyal Customers,0,Low Priority
12357,1,6207.67,2011-11-06 16:07:00,32,6207.67,3,1,4,314,Others,0,Low Priority
12358,2,1168.06,2011-12-08 10:26:00,1,584.03,4,2,3,423,Others,0,Low Priority
12359,4,6372.58,2011-10-13 12:47:00,57,1593.145,2,3,4,234,Loyal Customers,0,Low Priority
12360,3,2662.06,2011-10-18 15:22:00,51,887.3533333333334,2,3,4,234,Loyal Customers,0,Low Priority
12361,1,189.9,2011-02-25 13:51:00,286,189.9,1,1,1,111,At Risk,1,Urgent Recovery
12362,10,5226.23,2011-12-06 15:40:00,2,522.6229999999999,4,4,4,444,Champions,0,Protect
12363,2,552.0,2011-08-22 10:18:00,109,276.0,2,2,2,222,At Risk,1,Urgent Recovery
12364,4,1313.1,2011-12-02 10:22:00,7,328.275,4,3,3,433,Loyal Customers,0,Low Priority
12365,2,641.38,2011-02-21 14:04:00,290,320.69,1,2,2,122,At Risk,1,Urgent Recovery
12367,1,168.9,2011-12-05 16:48:00,3,168.9,4,1,1,411,Others,0,Low Priority
12370,4,3545.6899999999996,2011-10-19 14:51:00,50,886.4224999999999,3,3,4,334,Loyal Customers,0,Low Priority
12371,2,1887.96,2011-10-26 10:16:00,44,943.98,3,2,4,324,Others,0,Low Priority
12372,3,1298.04,2011-09-29 12:12:00,71,432.68,2,3,3,233,Loyal Customers,0,Low Priority
12373,1,364.6,2011-02-01 13:10:00,310,364.6,1,1,2,112,At Risk,1,Urgent Recovery
12374,1,742.9300000000001,2011-11-14 15:37:00,24,742.9300000000001,3,1,3,313,Others,0,Low Priority
12375,2,457.5,2011-11-29 10:36:00,10,228.75,4,2,2,422,Others,0,Low Priority
12377,2,1628.12,2011-01-28 15:45:00,314,814.06,1,2,3,123,At Risk,1,Urgent Recovery
12378,1,4008.62,2011-08-02 10:34:00,129,4008.62,2,1,4,214,At Risk,1,Urgent Recovery
